"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","KEYWORDS","URL","URLDATE","SOURCEID","ISBN","LANGUAGE","ABSTRACT","ISSN","SHORTTITLE","COLLABORATOR","COPYRIGHT","DOI","CFN","CLASS_LOC","DELIVERED","DOCUMENT_TYPE","FN","HHTYPE","INLG","LGCODE","MACRO_AREA","MPI_EVA_LIBRARY_SHELF","OCLC","SRC","SUBJECT_HEADINGS","LOCATION","GLOTTO","EXTRA_HASH","ASJP_NAME","AIATSIS_CALLNUMBER","AIATSIS_CODE","AIATSIS_REFERENCE_LANGUAGE","LANGUAGEID","MPIFN","OZBIB_ID","OZBIBREFTYPE","PUBLICATION","COUNTRY","SIL_ID","SUBJECT","OTHER_EDITIONS","FNNOTE","VARIETY","BESTTXT","LCCN","FILENAMES","ISO_CODE","OLAC_FIELD","REFDB_ID","WALS_CODE","AUTHOR_STATEMENT","NUMBEROFPAGES","OZBIBNOTE","LANGNOTE","LGFAMILY","ZURICHCODE","ZURICHNOTE","GULDEMANN_LOCATION","THESISTYPE","NOSHAREFN","PLACE","ABSTRACTNOTE","COLLECTION","DISPLAY"
"BOOK","Arnaud_1968",NA,NA,"Arnaud, Expedito Coelho",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parentesco Galibí",NA,NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arnaud 1968"
"BOOK","Silvia_1995",NA,NA,"Silvia, Márcio",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sistemas dravidianos na Amazônia: O caso Waimiri-Atroari",NA,NA,"1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silvia 1995"
"BOOK","Thomas_1971",NA,NA,"Thomas, David J.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antropologica30",NA,NA,"Pemon kinship terminology",NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thomas 1971"
"INCOLLECTION","heckart_ache_2015","Leipzig",NA,"Heckart, Claudia J.; Hill, Kim; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Aché",NA,NA,"2015","IC, TP22, ache1246, kinbank","http://ids.clld.org/contributions/288","2018-08-13","TP22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heckart et al. 2015"
"BOOK","Godelier_Trautmann_TjonSieFat_1998",NA,NA,"Godelier, Maurice; Trautmann, Thomas R.; Tjon Sie Fat, Franklin",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"tex.ids: godelier_transformations_1998-1 Citation Key: godelier_transformations_1998-2",NA,NA,NA,"Smithsonian Inst Pr",NA,NA,"Transformations of kinship",NA,NA,"1998",NA,NA,NA,NA,"1-56098-791-X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Godelier et al. 1998"
"MISC","roessler_unreleased_2017",NA,NA,"Roessler, Eva-Maria",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unreleased information from personal correspondance with {Eva}-{Maria} {Roessler}, a speaker of ache - ache12",NA,NA,"2017","JC, TP41, ache1246, kinbank",NA,NA,"TP41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roessler 2017"
"MISC","thompson_personal_2017",NA,NA,"Thompson, Warren",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal correspondance with a speaker of ache: ache1246",NA,NA,"2017","JC, TP40, ache1246, kinbank",NA,NA,"TP40",NA,"ache",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson 2017"
"MISC","bowern_austkin_nodate",NA,NA,"Bowern, Claire",NA,NA,NA,NA,"NA",NA,NA,"Austkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austkin {Data","Database",NA,NA,"PN3, kinbank, kuku1273","http://www.austkin.net/index.php","2016-12-01","PN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bowern n.d."
"ARTICLE","bowern_chirila_2016",NA,NA,"Bowern, Claire",NA,NA,NA,NA,"NA",NA,NA,"Language Documentation",NA,NA,NA,NA,NA,"44",NA,NA,NA,"Chirila: {Contemporary} and {Historical} {Resources} for the {Indigenous} {Languages} of {Australia",NA,"10","2016","JC, PN1, adny1235, arab1267, band1339, bayu1240, bind1236, biri1256, darl1243, dhuw1249, dier1241, djin1235, dyir1250, gami1243, gugu1255, guny1241, gupa1247, karr1236, kaur1267, kinbank, kuka1246, kuku1273, malg1242, marg1253, narr1259, ngad1258, ngam1265, ngar1286, ngar1287, nhan1238, nyam1261, pirr1240, pitt1247, rita1239, waga1260, wang1290, wang1291, wanm1242, warl1254, wira 1262, wira1265, woiw1287, wong1246, wulg1239, yaga1256, yala1262, yand1253, yort1237, yugu1249",NA,NA,"PN1",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bowern 2016"
"INCOLLECTION","khalilov_aghul_2015","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Aghul",NA,NA,"2015","ETC, ND4, aghu1253, kinbank","http://ids.clld.org/contributions/61","2018-08-13","ND4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
