ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link
p_bininjkunwokgunw1252,Bininj_Kun-wok_gunw1252,gunw1252,gup,Bininj Kun-Wok,,-12.3398,133.358,parabank,Bininj Kun-wok gunw1252.txt,,,http://bininjgunwok.org.au/information/kinship/
p_binukidtalaandigbinukidbinu1244,Binukid_(Talaandig-Binukid)_binu1244,binu1244,bkd,Talaandig-Binukid,Austronesian,8.15933,124.892,parabank,Binukid (Talaandig-Binukid) binu1244.txt,,,
p_blagarblag1240,Blagar_blag1240,blag1240,beu,Blagar,,-8.31787,124.251,parabank,Blagar blag1240.txt,20170621,,
p_boanosulawesiboan1243,Boano_(Sulawesi)_boan1243,boan1243,bzl,Boano (Sulawesi),Austronesian,0.51152,120.992,parabank,Boano (Sulawesi) boan1243.txt,20161207,,
p_bontokbont1247,Bontok_bont1247,bont1247,bnc,Bontok,Austronesian,17.09386,121.02662,parabank,Bontok bont1247.txt,20170406,,
p_brookespointpalawanobroo1239,Brooke's_Point_Palawano_broo1239,broo1239,plw,Brooke's Point Palawano,Austronesian,8.83891,117.871,parabank,Brooke's Point Palawano broo1239.txt,20170711,,
p_bruneisabahmalaymalaysaba1263,Brunei-Sabah_Malay_(Malay)_saba1263,saba1263,msi,Brunei-Sabah Malay,Austronesian,4.64808,117.024,parabank,Brunei-Sabah Malay (Malay) saba1263.txt,20170406,,
p_buhidbuhi1245,Buhid_buhi1245,buhi1245,bku,Buhid,Austronesian,12.6396,121.21,parabank,Buhid buhi1245.txt,20170616,,
p_buinbuin1247,Buin_buin1247,buin1247,,Buin,,,,parabank,Buin buin1247.txt,20161202,,
p_bukatbuka1261,Bukat_buka1261,buka1261,bvk,Bukat,Austronesian,1.29075,113.246,parabank,Bukat buka1261.txt,20170614,,
p_bulibuli1256,Buli_buli1256,buli1256,,Buli,Austronesian,,,parabank,Buli buli1256.txt,20170612,Data incomplete and source word list requires interpretation,
p_bunganditjbung1264,Bunganditj_bung1264,bung1264,xbg,Bunganditj,Pama-Nyungan,-36.5,140.5,parabank,Bunganditj bung1264.txt,20161202,"-ngayn (-ine) = my, -ngun (-on) = your, -n[h]ung = his/her",
p_bungkubung1269,Bungku_bung1269,bung1269,bkz,Bungku,Austronesian,-3.22197,122.212,parabank,Bungku bung1269.txt,20161209,,
p_buruindonesiaburu1303,Buru_(Indonesia)_buru1303,buru1303,mhs,Buru (Indonesia),Austronesian,-3.43957,126.632,parabank,Buru (Indonesia) buru1303.txt,20170614,,
p_butmasturbutm1237,Butmas-Tur_butm1237,butm1237,bnr,Farafi,Austronesian,-15.3353,167.034,parabank,Butmas-Tur butm1237.txt,20180109,,
p_casigurandumagatagtacasi1235,Casiguran_Dumagat_Agta_casi1235,casi1235,dgc,Casiguran-Nagtipunan Agta,Austronesian,16.2176,121.878,parabank,Casiguran Dumagat Agta casi1235.txt,20170327,,
p_cebuanocebu1242,Cebuano_cebu1242,cebu1242,ceb,Cebuano,Austronesian,8.38799,124.367,parabank,Cebuano cebu1242.txt,20170614,,
p_centralcagayanagtacent2084,Central_Cagayan_Agta_cent2084,cent2084,agt,Central Cagayan Agta,Austronesian,17.9571,121.857,parabank,Central Cagayan Agta cent2084.txt,2017025,,
p_centralmelanaucent2101,Central_Melanau_cent2101,cent2101,mel,Central Melanau,Austronesian,2.524086,111.346451,parabank,Central Melanau cent2101.txt,20170704,,
p_centralsamacent2092,Central_Sama_cent2092,cent2092,sml,Central Sama,Austronesian,7.004574,118.455978,parabank,Central Sama cent2092.txt,20170714,,http://sinama.org/2014/03/sama-tausug-kinship-terminology/
p_centralsubanensubanungcent2089,Central_Subanen_(Subanung)_cent2089,cent2089,syb,Central Subanen,Austronesian,8.12701,123.018,parabank,Central Subanen (Subanung) cent2089.txt,20170406,,
p_centraltagbanwacent2090,Central_Tagbanwa_cent2090,cent2090,tgt,Central Tagbanwa,Austronesian,10.6519,119.338,parabank,Central Tagbanwa cent2090.txt,20170718,,
p_chamarrocham1312,Chamarro_cham1312,cham1312,cha,Chamorro,Austronesian,13.438011,144.74474,parabank,Chamarro cham1312.txt,20170614,,
p_chavacanochav1241,Chavacano_chav1241,chav1241,cbk,Chavacano,Indo-European,7.435034,122.18849,parabank,Chavacano chav1241.txt,,,
p_chekeholochek1238,Cheke_Holo_chek1238,chek1238,mrn,Cheke Holo,Austronesian,-8.27055,159.625,parabank,Cheke Holo chek1238.txt,20170531,,
p_chepangchep1245,Chepang_chep1245,chep1245,cdm,Chepang,Sino-Tibetan,27.7206,84.9017,parabank,Chepang chep1245.txt,20161208,,
p_chuukesetrukesechuu1238,Chuukese_(Trukese)_chuu1238,chuu1238,chk,Chuukese,Austronesian,7.346993,151.598607,parabank,Chuukese (Trukese) chuu1238.txt,,,
p_cotabatomanobocota1241,Cotabato_Manobo_cota1241,cota1241,mta,Cotabato Manobo,Austronesian,6.39417,124.234,parabank,Cotabato Manobo cota1241.txt,20170703,,
p_daakieport1286,Daakie_port1286,port1286,ptv,Daakie,Austronesian,-16.3083,168.046,parabank,Daakie port1286.txt,20171013,,
p_dakakadaka1243,Dakaka_daka1243,daka1243,bpa,Dakaka,Austronesian,-16.2696,168.013,parabank,Dakaka daka1243.txt,20171013,,
p_dalabonngal1292,Dalabon_ngal1292,ngal1292,ngk,Ngalkbun,,-13.9783,133.936,parabank,Dalabon ngal1292.txt,,"kin terms are normally suffixed with an appropriate possessive suffix, e.g. bulungan /buluŋan/ 'my father', buluno 'his/her father' etc. Just the bare stems are given in these lists",
p_dampelasdamp1237,Dampelas_damp1237,damp1237,dms,Dampelas,Austronesian,0.70234,120.219,parabank,Dampelas damp1237.txt,20161207,,
p_dehongdeho1238,Dehong_deho1238,deho1238,,Dehong,Tai-Kadai,,,parabank,Dehong deho1238.txt,20170106,,
p_dehudehu1237,Dehu_dehu1237,dehu1237,dhv,Dehu,Austronesian,-20.8892,167.229,parabank,Dehu dehu1237.txt,20170404,,
p_dharumbaldhar1248a,Dharumbal_dhar1248a,dhar1248,xgm,Dharumbal,Pama-Nyungan,-23.307,150.593,parabank,Dharumbal dhar1248.txt,20161205,,
p_dhuwaldhuwalayolngudhuw1248,Dhuwal-Dhuwala_(Yolngu)_dhuw1248,dhuw1248,,Dhuwal-Dhuwala,Pama-Nyungan,,,parabank,Dhuwal-Dhuwala (Yolngu) dhuw1248.txt,20180116,,
p_diyaridier1241a,Diyari_dier1241a,dier1241,dif,Dieri,Pama-Nyungan,-28.1667,138.0,parabank,Diyari dier1241.txt,20170321,,
p_djapudhuw1249,Djapu_dhuw1249,dhuw1249,duj,Dhuwal,Pama-Nyungan,-12.7825,136.008,parabank,Djapu dhuw1249.txt,20170320,,
p_djinangdjin1253a,Djinang_djin1253a,djin1253,dji,Djinang,Pama-Nyungan,-12.462,134.82,parabank,Djinang djin1253.txt,20170321,,
p_dobudobu1241,Dobu_dobu1241,dobu1241,dob,Dobu,Austronesian,-9.63239,150.825,parabank,Dobu dobu1241.txt,20170616,,
p_dondodond1249,Dondo_dond1249,dond1249,dok,Dondo,Austronesian,0.80348,120.707,parabank,Dondo dond1249.txt,20161207,,
p_dunaduna1248,Duna_duna1248,duna1248,duc,Duna,,-5.41439,142.475,parabank,Duna duna1248.txt,20191122,,
p_dupaninganagatdupa1235,Dupaningan_Agat_dupa1235,dupa1235,duo,Dupaninan Agta,Austronesian,17.3748,122.188,parabank,Dupaningan Agat dupa1235.txt,20161128,,
p_duungidjawuduun1241,Duungidjawu_duun1241,duun1241,,Duungidjawu,Pama-Nyungan,,,parabank,Duungidjawu duun1241.txt,20161201,,
p_dzonghkalhopdzon1239,Dzonghka_Lhop_dzon1239,dzon1239,dzo,Dzongkha,Sino-Tibetan,27.410786,89.581604,parabank,Dzonghka Lhop dzon1239.txt,,Cousin terminology depends on birth order of speaker and cousin.,https://scholarspace.manoa.hawaii.edu/handle/10125/26148
p_dzonghkashadzon1239,Dzonghka_Sha_dzon1239,dzon1239,dzo,Dzongkha,Sino-Tibetan,27.410786,89.581604,parabank,Dzonghka Sha dzon1239.txt,,Cousin terminology depends on birth order of speaker and cousin.,https://scholarspace.manoa.hawaii.edu/handle/10125/26148
p_dzonghkawangwang1287,Dzonghka_Wang_wang1287,wang1287,,Wang-The,Sino-Tibetan,,,parabank,Dzonghka Wang wang1287.txt,,,
p_eastambaelolovolieast2443,East_Ambae_(Lolovoli)_east2443,east2443,omb,East Ambae,Austronesian,-15.3523,167.89,parabank,East Ambae (Lolovoli) east2443.txt,,,
p_eastfutunaeast2447,East_Futuna_east2447,east2447,fud,East Futuna,Austronesian,-14.278717,-178.137222,parabank,East Futuna east2447.txt,,,
p_eastkaveeast2516,East_Kave_east2516,east2516,kjs,East Kewa,Nuclear Trans New Guinea,-6.32989,143.931,parabank,East Kave east2516.txt,20170328,,
p_emaemaeemae1237,Emae_(Mae)_emae1237,emae1237,mmw,Emae,Austronesian,-17.052,168.399,parabank,Emae (Mae) emae1237.txt,20171031,,
p_emauemaoislandemau1237,Emau_(Emao_Island)_emau1237,emau1237,,Emau,Austronesian,,,parabank,Emau (Emao Island) emau1237.txt,20180123,,
p_endepapuanewguineaende1235,Ende_(Papua_New_Guinea)_ende1235,ende1235,,Ende (Papua New Guinea),,-8.957786,142.24079900000004,parabank,Ende (Papua New Guinea) ende1235.txt,20171113,,
p_englishstan1293,English_stan1293,stan1293,eng,English,Indo-European,53.0,-1.0,parabank,English stan1293.txt,,,
p_eravesouthkewaerav1244,Erave_(South_Kewa)_erav1244,erav1244,kjy,Erave,Nuclear Trans New Guinea,-6.55011,143.918,parabank,Erave (South Kewa) erav1244.txt,20170401,,
p_fijianfiji1243,Fijian_fiji1243,fiji1243,fij,Fijian,Austronesian,-18.0,178.33,parabank,Fijian fiji1243.txt,,,
p_finnishfinn1318,Finnish_finn1318,finn1318,fin,Finnish,Uralic,64.7628,25.5577,parabank,Finnish finn1318.txt,20170901,,
p_fortsenalkiaifort1240,Fortsenal_(Kiai)_fort1240,fort1240,frt,Kiai,Austronesian,-15.4484,166.931,parabank,Fortsenal (Kiai) fort1240.txt,20171108,,
p_futunaaniwafutu1245,Futuna-Aniwa_futu1245,futu1245,fut,Futuna-Aniwa,Austronesian,-19.5303,170.215,parabank,Futuna-Aniwa futu1245.txt,20170530,,
p_gadanggada1258,Ga'dang_gada1258,gada1258,gdg,Ga'dang,Austronesian,17.2238,121.455,parabank,Ga'dang gada1258.txt,,,
p_galeiaagale1259,Galeia_A_gale1259,gale1259,gbi,Galela,,2.31461,128.44,parabank,Galeia A gale1259.txt,20170612,Data incomplete and source word list requires interpretation,
p_galeiabgale1259,Galeia_B_gale1259,gale1259,gbi,Galela,,2.31461,128.44,parabank,Galeia B gale1259.txt,20170612,Data incomplete and source word list requires interpretation,
p_ganegimangane1237,Gane_(Gimán)_gane1237,gane1237,gzn,Gane,Austronesian,-0.42618,127.976,parabank,Gane (Gimán) gane1237.txt,20170612,Data incomplete and source word list requires interpretation,
p_ganggalidagang1267,Ganggalida_gang1267,gang1267,gcd,Ganggalida,,-17.5446,139.426,parabank,Ganggalida gang1267.txt,,"Ganggalida (Yukulta) language, Tangkic Family, sources are Keen 1983 and Nancarrow 2014. So far entered as far as grandkin terms",
p_gayogayo1244,Gayo_gayo1244,gayo1244,gay,Gayo,Austronesian,4.3733,97.3456,parabank,Gayo gayo1244.txt,20170402,,
p_gelagela1263,Gela_gela1263,gela1263,nlg,Gela,Austronesian,-9.04587,160.186,parabank,Gela gela1263.txt,20170707,,
p_germanstan1295,German_stan1295,stan1295,deu,German,Indo-European,48.649,12.4676,parabank,German stan1295.txt,,,
p_guigwigwii1239,Gui_(Gwi)_gwii1239,gwii1239,gwj,/Gwi,,-22.2708,21.9431,parabank,Gui (Gwi) gwii1239.txt,,"terms after slash (/) are address terms (only nominal, not verbal). G|ui kinship terms are nomino-verbal and sex distinction is signaled with enclitics.",
p_guuguyimidhirrgugu1255a,Guugu_Yimidhirr_gugu1255a,gugu1255,kky,Guugu Yimidhirr,Pama-Nyungan,-14.9424,144.831,parabank,Guugu Yimidhirr gugu1255.txt,20171209,,
p_hanunoohanu1241,Hanunoo_hanu1241,hanu1241,hnn,Hanunoo,Austronesian,12.4159,121.221,parabank,Hanunoo hanu1241.txt,20170616,,
p_hawaiihawa1245,Hawaii_hawa1245,hawa1245,haw,Hawaiian,Austronesian,19.6297,-155.43,parabank,Hawaii hawa1245.txt,,,
p_hiligaynonhili1240,Hiligaynon_hili1240,hili1240,hil,Hiligaynon,Austronesian,10.4018,122.974,parabank,Hiligaynon hili1240.txt,,,
p_hiwhiww1237,Hiw_hiww1237,hiww1237,hiw,Hiw,Austronesian,-13.126367,166.584857,parabank,Hiw hiww1237.txt,20171101,,
p_ibaloinabaloiibal1244,Ibaloi_(Nabaloi)_ibal1244,ibal1244,ibl,Ibaloi,Austronesian,16.4263,120.695,parabank,Ibaloi (Nabaloi) ibal1244.txt,20170406,,
p_ibanagiban1267,Ibanag_iban1267,iban1267,ibg,Ibanag,Austronesian,17.4201,121.891,parabank,Ibanag iban1267.txt,20170620,,
p_ibaniban1264,Iban_iban1264,iban1264,iba,Iban,Austronesian,2.09041,112.934,parabank,Iban iban1264.txt,20170620,,
p_idaanidaa1241,Ida'an_idaa1241,idaa1241,dbj,Ida'an,Austronesian,5.29059,118.515,parabank,Ida'an idaa1241.txt,20170620,,
p_idiidii1243,Idi_idii1243,idii1243,idi,Idi-Taeme,,-8.75976,142.301,parabank,Idi idii1243.txt,,,
p_ifugawifugaoifug1247,Ifugaw_(Ifugao)_ifug1247,ifug1247,,Ifugaw,Austronesian,,,parabank,Ifugaw (Ifugao) ifug1247.txt,20170406,,
p_iliuuniliu1237,Ili'uun_iliu1237,iliu1237,ilu,Ili'uun,Austronesian,-7.84385,125.902,parabank,Ili'uun iliu1237.txt,20170616,,
p_ilokanoilok1237,Ilokano_ilok1237,ilok1237,ilo,Iloko,Austronesian,15.9361,120.993,parabank,Ilokano ilok1237.txt,20170620,,
p_inanwatansuaboinan1242,Inanwatan_(Suabo)_inan1242,inan1242,,Inanwatan,,,,parabank,Inanwatan (Suabo) inan1242.txt,20170402,,
p_indonesianbajauindo1317,Indonesian_Bajau_indo1317,indo1317,bdl,Indonesian Bajau,Austronesian,-3.68664,122.253,parabank,Indonesian Bajau indo1317.txt,,,
p_indonesianindo1316,Indonesian_indo1316,indo1316,ind,Indonesian,Austronesian,-7.33458,109.716,parabank,Indonesian indo1316.txt,20170621,,
p_irayairay1237,Iraya_iray1237,iray1237,iry,Iraya,Austronesian,13.381,120.65,parabank,Iraya iray1237.txt,20170616,,
p_isakakrisakris1246,I'saka_(Krisa)_kris1246,kris1246,ksi,I'saka,,-2.80084,141.303,parabank,I'saka (Krisa) kris1246.txt,20161201,,
p_isnagisna1241,Isnag_isna1241,isna1241,isd,Isnag,Austronesian,18.2139,121.16,parabank,Isnag isna1241.txt,,,
p_itbayativat1242,Itbayat_ivat1242,ivat1242,ivv,Itbayat,Austronesian,20.77,121.85,parabank,Itbayat ivat1242.txt,20170620,,
p_itnegbinonganbino1237,Itneg_(Binongan)_bino1237,bino1237,itb,Binongan Itneg,Austronesian,17.5972,120.876,parabank,Itneg (Binongan) bino1237.txt,,,
p_jahaijehaijeha1242,Jahai_(Jehai)_jeha1242,jeha1242,jhi,Jehai,Austroasiatic,5.63695,101.541,parabank,Jahai (Jehai) jeha1242.txt,20161130,,
p_javanesejava1254,Javanese_java1254,java1254,jav,Javanese,Austronesian,-7.001,109.287,parabank,Javanese java1254.txt,20170621,,
p_jinghpawjing1260,Jinghpaw_jing1260,jing1260,,Jingpho,Sino-Tibetan,,,parabank,Jinghpaw_jing1260.txt,20191113,,
p_jinguludjin1251,Jingulu_djin1251,djin1251,jig,Jingulu,,-17.165,133.659,parabank,Jingulu djin1251.txt,,,
p_kadaikada1286,Kadai_kada1286,kada1286,kzd,Kadai,Austronesian,-1.74547,125.142,parabank,Kadai kada1286.txt,20170608,Data incomplete and source word list requires interpretation,
p_kalalagawyakala1377,Kala_Lagaw_Ya_kala1377,kala1377,mwp,Kala Lagaw Ya,Pama-Nyungan,-10.6748,142.196,parabank,Kala Lagaw Ya kala1377.txt,20170322,,
p_kalamangkara1499,Kalamang_kara1499,kara1499,kgv,Kalamang,,-3.47037,132.678,parabank,Kalamang kara1499.txt,20170607,,
p_kalamkala1397,Kalam_kala1397,kala1397,kmh,Kalam,Nuclear Trans New Guinea,-5.25216,144.585,parabank,Kalam kala1397.txt,20161129,,
p_kalingaahinkayapakalanguyaahin1234,Kalinga_(Ahin-Kayapa_Kalanguya)_ahin1234,ahin1234,kak,Ahin-Kayapa Kalanguya,Austronesian,16.321,120.90003,parabank,Kalinga (Ahin-Kayapa Kalanguya) ahin1234.txt,20170621,Kinship terms may have come from Ilokano,
p_kamangkama1365,Kamang_kama1365,kama1365,woi,Kamang,,-8.26897,124.792,parabank,Kamang kama1365.txt,20170621,,
p_kamberakamb1299,Kambera_kamb1299,kamb1299,xbr,Kambera,Austronesian,-9.88447,120.235,parabank,Kambera kamb1299.txt,20170614,,
p_kankanaeykankanaikank1243,Kankanaey_(Kankanai)_kank1243,kank1243,kne,Kankanaey,Austronesian,16.8548,120.689,parabank,Kankanaey (Kankanai) kank1243.txt,20170406,,
p_kanumkanu1280,Kanum_kanu1280,kanu1280,,Kanum,,,,parabank,Kanum kanu1280.txt,20170322,,
p_kapingamarangikapi1249a,Kapingamarangi_kapi1249a,kapi1249,kpg,Kapingamarangi,Austronesian,1.039166,154.797223,parabank,Kapingamarangi kapi1249.txt,20170516,,
p_kashayakash1280,Kashaya_kash1280,kash1280,kju,Kashaya,,38.5424,-123.08,parabank,Kashaya kash1280.txt,20180413,,
p_kayardildkaya1318,Kayardild_kaya1318,kaya1318,,Kayardild-Yangkaal,,,,parabank,Kayardild kaya1318.txt,,,
p_khalkhamongolianmong1331,Khalkha-Mongolian_mong1331,mong1331,mon,Mongolian,,,,parabank,Khalkha-Mongolian mong1331.txt,20191112,,
p_kilivilakili1267,Kilivila_kili1267,kili1267,kij,Kilivila,Austronesian,-8.72574,151.072,parabank,Kilivila kili1267.txt,20170627,,
p_kiputkipu1237,Kiput_kipu1237,kipu1237,kyi,Kiput,Austronesian,4.16535,114.367,parabank,Kiput kipu1237.txt,20161202,,
p_kiramankira1248,Kiraman_kira1248,kira1248,,Kiramang,,,,parabank,Kiraman kira1248.txt,20170621,,
p_kiwaiankiwa1251,Kiwaian_kiwa1251,kiwa1251,,Kiwaian,,,,parabank,Kiwaian kiwa1251.txt,,,
p_klonklon1234,Klon_klon1234,klon1234,,Klon-Kafoa,,,,parabank,Klon klon1234.txt,20161124,,
p_kodeohakode1237,Kodeoha_kode1237,kode1237,vko,Kodeoha,Austronesian,-3.39566,120.937,parabank,Kodeoha kode1237.txt,20161209,,
p_kogicogu1240,Kogi_cogu1240,cogu1240,kog,Cogui,,10.9485,-73.8043,parabank,Kogi_cogu1240.txt,20191115,,
p_koiarigras1249,Koiari_gras1249,gras1249,kbk,Grass Koiari,,-9.51218,147.437,parabank,Koiari gras1249.txt,20161205,,
p_kombakomb1273,Komba_komb1273,komb1273,kpf,Komba,Nuclear Trans New Guinea,-6.16163,147.28,parabank,Komba komb1273.txt,20171030,,
p_komnzokomn1238,Komnzo_komn1238,komn1238,,Kómnjo,,,,parabank,Komnzo komn1238.txt,,"g represents /ŋg/ and th represents θ, in addition ə is inserted into certain clusters, so that orthographic <nge> is phonetic [nəŋge]",
p_konawekona1243,Konawe_kona1243,kona1243,,Konawe,Austronesian,,,parabank,Konawe kona1243.txt,20161209,,
p_koronikoro1311,Koroni_koro1311,koro1311,xkq,Koroni,Austronesian,-2.6367,121.977,parabank,Koroni koro1311.txt,20161209,,
p_kristangmalaccacreoleportugesemala1533,Kristang_(Malacca_Creole_Portugese)_mala1533,mala1533,mcm,Malacca-Batavia Portuguese Creole,Indo-European,2.188087,102.262059,parabank,Kristang (Malacca Creole Portugese) mala1533.txt,20161201,,
p_kuanuakuan1248,Kuanua_kuan1248,kuan1248,ksd,Kuanua,Austronesian,-4.30986,152.114,parabank,Kuanua kuan1248.txt,20170628,,
