Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,male speaker's sibling,,,,
mB,,,male speaker's brother,,,,
mZ,ur,,male speaker's sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
meB,,,male speaker's elder brother,,,,
myB,warin,,male speaker's younger brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
meZ,,,male speaker's elder sister,,,,
myZ,,,male speaker's younger sister,,,,
mP,,,male speaker's parent,,,,
mF,yaman,,male speaker's father,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mM,renan,,male speaker's mother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mC,yanan,,male speaker's child,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mS,,,male speaker's son,,,,
mD,,,male speaker's daughter,,,,
mA,,,male speaker's ancestor,,,,
mPP,,,male speaker's grandparent,,,,
mFF,,,male speaker's father's father,,,,
mFM,,,male speaker's father's mother,,,,
mMF,,,male speaker's mother's father,,,,
mMM,,,male speaker's mother's mother,,,,
mCC,,,male speaker's grandchild,,,,
mSS,,,male speaker's son's son,,,,
mSD,,,male speaker's son's daughter,,,,
mDS,,,male speaker's daughter's son,,,,
mDD,,,male speaker's daughter's daughter,,,,
mFB,yaman,,male speaker's father's brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFZ,avan,,male speaker's father's sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMB,memin,,male speaker's mother's brother,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mMZ,renan,,male speaker's mother's sister,,p289 ,Godelier_Trautmann_TjonSieFat_1998,
mFeB,,,male speaker's father's older brother,,,,
mFyB,,,male speaker's father's younger brother,,,,
mFeZ,,,male speaker's father's older sister,,,,
mFyZ,,,male speaker's father's younger sister,,,,
mMeZ,,,male speaker's mother's older sister,,,,
mMyZ,,,male speaker's mother's younger sister,,,,
mMeB,,,male speaker's mother's older brother,,,,
mMyB,,,male speaker's mother's younger brother,,,,
mBS,,,male speaker's brother's son,,,,
mBD,,,male speaker's brother's daughter,,,,
