"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","Column1","X_1"
"mG","",,"male speaker's sibling",,,"","",,
"mB","",,"male speaker's brother",,,"","",,
"mZ","",,"male speaker's sister",,,"","",,
"meB","apiak",,"male speaker's elder brother",,183,"Pospisil_Laughlin_1963","",,
"myB","nukatceak",,"male speaker's younger brother",,183,"Pospisil_Laughlin_1963","",,
"meZ","ataurok",,"male speaker's elder sister",,183,"Pospisil_Laughlin_1963","",,
"myZ","nukatceak",,"male speaker's younger sister",,183,"Pospisil_Laughlin_1963","",,
"mP","",,"male speaker's parent",,,"","",,
"mF","apa",,"male speaker's father",,182,"Pospisil_Laughlin_1963","",,
"mM","aaka",,"male speaker's mother",,182,"Pospisil_Laughlin_1963","",,
"mC","",,"male speaker's child",,,"","",,
"mS","eknek",,"male speaker's son",,183,"Pospisil_Laughlin_1963","",,
"mD","panik",,"male speaker's daughter",,183,"Pospisil_Laughlin_1963","",,
"mA","",,"male speaker's ancestor",,,"","",,
"mPP","",,"male speaker's grandparent",,,"","",,
"mFF","atata",,"male speaker's father's father",,182,"Pospisil_Laughlin_1963","",,
"mFM","aana",,"male speaker's father's mother",,182,"Pospisil_Laughlin_1963","",,
"mMF","atata",,"male speaker's mother's father",,182,"Pospisil_Laughlin_1963","",,
"mMM","aana",,"male speaker's mother's mother",,182,"Pospisil_Laughlin_1963","",,
"mCC","tutik",,"male speaker's grandchild",,183,"Pospisil_Laughlin_1963","",,
"mSS","tutik",,"male speaker's son's son",,183,"Pospisil_Laughlin_1963","",,
"mSD","tutik",,"male speaker's son's daughter",,183,"Pospisil_Laughlin_1963","",,
"mDS","tutik",,"male speaker's daughter's son",,183,"Pospisil_Laughlin_1963","",,
"mDD","tutik",,"male speaker's daughter's daughter",,183,"Pospisil_Laughlin_1963","",,
"mFB","angaluk",,"male speaker's father's brother",,182,"Pospisil_Laughlin_1963","",,
"mFZ","atcak",,"male speaker's father's sister",,182,"Pospisil_Laughlin_1963","",,
"mMB","angaluk",,"male speaker's mother's brother",,182,"Pospisil_Laughlin_1963","",,
"mMZ","atcak",,"male speaker's mother's sister",,182,"Pospisil_Laughlin_1963","",,
"mFeB","angaluk",,"male speaker's father's older brother",,182,"Pospisil_Laughlin_1963","",,
"mFyB","angaluk",,"male speaker's father's younger brother",,182,"Pospisil_Laughlin_1963","",,
"mFeZ","atcak",,"male speaker's father's older sister",,182,"Pospisil_Laughlin_1963","",,
