Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,nam-mae,,male speaker's sibling,,,,"남매, only available in the plural"
mB,,,male speaker's brother,,,,
mZ,,,male speaker's sister,,,,
meB,hyung,,male speaker's elder brother,chin-hyung,35,Lee_Harvey_1973,형
myB,nam-dongsaeng,,male speaker's younger brother,,,FlyingOyster_2020,남동생
meZ,nuna,,male speaker's elder sister,chin-nuna,35,Lee_Harvey_1973,누나
myZ,yeo-dongsaeng,,male speaker's younger sister,,,FlyingOyster_2020,여동생
mP,bumo-nim,,male speaker's parent,,,,"부모님, only available in the plural"
mF,abeoji,,male speaker's father,,35,Lee_Harvey_1973,아버지
mM,eomeoni,,male speaker's mother,,35,Lee_Harvey_1973,어머니
mC,ai,,male speaker's child,,,,아이
mS,adeul,,male speaker's son,,,FlyingOyster_2020,아들
mD,ddal,,male speaker's daughter,,,FlyingOyster_2020,딸
mA,seonjo,,male speaker's ancestor,,,,"선조, more of a technical/religious term"
mPP,jo-bumo-nim,,male speaker's grandparent,,,,"조부모님, only available in the plural"
mFF,harabeoji,,male speaker's father's father,,35,Lee_Harvey_1973,할아버지
mFM,halmeoni,,male speaker's father's mother,,35,Lee_Harvey_1973,할머니
mMF,oi-harabeoji,,male speaker's mother's father,,36,Lee_Harvey_1973,외할아버지
mMM,oi-halmeoni,,male speaker's mother's mother,,36,Lee_Harvey_1973,외할머니
mCC,,,male speaker's grandchild,,,,
mSS,sonja,,male speaker's son's son,,,,손자
mSD,sonnyeo,,male speaker's son's daughter,,,,손녀
mDS,sonja,,male speaker's daughter's son,,,,손자
mDD,sonnyeo,,male speaker's daughter's daughter,,,,손녀
mFB,samchon,,male speaker's father's brother,,,FlyingOyster_2020,삼촌
